City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Coihaique,CL,2022-12-01 00:55:31,-45.5752,-72.0662,284.12,50,0,2.06
68,Kapaa,US,2022-12-01 00:55:32,22.0752,-159.319,301.14,72,62,1.79
69,Nikolskoye,RU,2022-12-01 00:55:32,59.7035,30.7861,268.6,90,95,1.63
70,Rawah,IQ,2022-12-01 00:55:33,34.4816,41.9093,287.88,67,30,1.73
71,Dubai,AE,2022-12-01 00:52:14,25.2582,55.3047,297.11,73,0,1.03
72,Sao Gabriel Da Cachoeira,BR,2022-12-01 00:55:33,-0.1303,-67.0892,296.54,98,96,1.17
73,Victoria,HK,2022-12-01 00:52:10,22.2855,114.1577,290.0,75,100,6.71
74,Agadir,MA,2022-12-01 00:55:34,30.4202,-9.5982,287.4,86,26,1.67
75,Sari,IR,2022-12-01 00:55:34,36.5633,53.0601,285.69,79,97,1.86
76,Dunedin,NZ,2022-12-01 00:55:35,-45.8742,170.5036,288.6,68,99,0.89
77,Necochea,AR,2022-12-01 00:55:35,-38.5473,-58.7368,287.57,87,100,6.39
78,Guerrero Negro,MX,2022-12-01 00:55:36,27.9769,-114.0611,288.95,72,19,5.47
79,New Norfolk,AU,2022-12-01 00:55:36,-42.7826,147.0587,288.55,34,12,0.65
80,Agen,FR,2022-12-01 00:55:37,44.2,0.6333,276.88,100,100,1.03
81,Caiaponia,BR,2022-12-01 00:55:37,-16.9567,-51.8103,293.72,82,87,1.67
82,Sovetskaya Gavan,RU,2022-12-01 00:55:38,48.9723,140.2878,256.51,54,17,5.39
83,Thompson,CA,2022-12-01 00:55:38,55.7435,-97.8558,246.24,69,0,4.12
84,Faya,SA,2022-12-01 00:55:39,18.3851,42.4509,284.21,82,17,0.38
85,Beringovskiy,RU,2022-12-01 00:55:39,63.05,179.3167,271.63,90,100,4.64
86,Saskylakh,RU,2022-12-01 00:55:40,71.9167,114.0833,240.29,99,100,3.89
87,Avarua,CK,2022-12-01 00:55:40,-21.2078,-159.775,301.18,78,75,8.23
88,Ranong,TH,2022-12-01 00:56:41,9.9658,98.6348,296.11,87,100,1.89
89,Kavieng,PG,2022-12-01 00:54:49,-2.5744,150.7967,302.48,66,100,1.3
90,Birao,CF,2022-12-01 00:56:41,10.2849,22.7882,298.24,33,33,2.42
91,Talnakh,RU,2022-12-01 00:56:42,69.4865,88.3972,253.55,99,97,2.25
92,Middelburg,ZA,2022-12-01 00:56:42,-25.7751,29.4648,287.73,60,0,1.64
93,Pevek,RU,2022-12-01 00:56:43,69.7008,170.3133,259.85,89,100,2.47
94,Bani Walid,LY,2022-12-01 00:56:43,31.7566,13.9942,285.71,52,0,3.66
95,Lavrentiya,RU,2022-12-01 00:56:43,65.5833,-171.0,266.54,91,90,3.12
96,Pisco,PE,2022-12-01 00:54:41,-13.7,-76.2167,293.18,77,0,8.23
97,Rawson,AR,2022-12-01 00:56:44,-43.3002,-65.1023,288.61,55,0,8.91
98,Lubu,CN,2022-12-01 00:56:45,23.1742,112.2809,283.9,73,100,1.93
99,Mahebourg,MU,2022-12-01 00:56:45,-20.4081,57.7,295.51,88,40,2.06
100,Vestmannaeyjar,IS,2022-12-01 00:52:53,63.4427,-20.2734,280.76,74,99,11.89
101,Torbay,CA,2022-12-01 00:56:46,47.6666,-52.7314,268.43,79,0,3.09
102,San Cristobal,VE,2022-12-01 00:56:46,7.7669,-72.225,293.25,96,66,1.97
103,Jamestown,US,2022-12-01 00:56:47,42.097,-79.2353,272.05,89,100,7.6
104,Vardo,NO,2022-12-01 00:56:47,70.3705,31.1107,273.14,86,100,4.12
105,Sola,VU,2022-12-01 00:56:47,-13.8833,167.55,302.52,79,75,4.12
106,Vaini,TO,2022-12-01 00:56:48,-21.2,-175.2,301.24,83,75,4.63
107,Cabo San Lucas,MX,2022-12-01 00:54:41,22.8909,-109.9124,297.62,73,28,1.86
108,Ziway,ET,2022-12-01 00:56:48,7.9333,38.7167,288.4,47,8,4.83
109,Cagliliog,PH,2022-12-01 00:56:49,13.9016,123.2913,301.02,78,100,6.18
110,Port Elizabeth,ZA,2022-12-01 00:55:02,-33.918,25.5701,291.54,91,0,3.09
111,Srednekolymsk,RU,2022-12-01 00:56:50,67.45,153.6833,248.79,98,100,1.88
112,Salinopolis,BR,2022-12-01 00:52:21,-0.6136,-47.3561,299.08,81,48,3.0
113,Saint Anthony,US,2022-12-01 00:56:50,45.0205,-93.218,264.4,73,0,5.14
114,Karratha,AU,2022-12-01 00:56:51,-20.7377,116.8463,305.23,34,1,4.0
115,Sioux Lookout,CA,2022-12-01 00:56:51,50.1001,-91.917,263.19,79,100,9.26
116,Severo-Kurilsk,RU,2022-12-01 00:56:52,50.6789,156.125,272.09,73,99,10.5
117,Flinders,AU,2022-12-01 00:56:47,-34.5833,150.8552,291.62,62,100,3.67
118,Aklavik,CA,2022-12-01 00:56:02,68.2191,-135.0107,256.15,85,100,2.06
119,Clearwater,US,2022-12-01 00:56:52,27.9659,-82.8001,295.41,79,0,1.34
120,Faanui,PF,2022-12-01 00:56:53,-16.4833,-151.75,300.04,78,16,6.52
121,Qala,AZ,2022-12-01 00:56:53,40.4418,50.1681,280.09,81,100,4.12
122,Mercedes,AR,2022-12-01 00:56:54,-34.6515,-59.4307,293.51,91,100,5.11
123,Hilo,US,2022-12-01 00:56:54,19.7297,-155.09,303.86,91,90,1.34
124,Alice Springs,AU,2022-12-01 00:56:54,-23.7,133.8833,300.9,16,0,5.14
125,Belomorsk,RU,2022-12-01 00:56:55,64.5232,34.7668,268.98,96,100,2.0
126,Nioro,GM,2022-12-01 00:56:55,13.35,-15.75,296.85,45,86,2.9
127,Kumba,CM,2022-12-01 00:56:56,4.6363,9.4469,295.38,94,87,0.38
128,Port Alfred,ZA,2022-12-01 00:56:56,-33.5906,26.891,291.58,94,100,2.16
129,Sfantu Gheorghe,RO,2022-12-01 00:56:56,45.8667,25.7833,273.67,89,100,2.12
130,Karpathos,GR,2022-12-01 00:56:57,35.507,27.2132,291.13,72,100,8.75
131,Bozoum,CF,2022-12-01 00:56:58,6.3193,16.3799,293.69,38,100,0.4
132,Ekhabi,RU,2022-12-01 00:56:58,53.5102,142.9671,253.97,92,66,7.77
133,Touros,BR,2022-12-01 00:56:58,-5.1989,-35.4608,299.1,70,98,4.9
134,Vangaindrano,MG,2022-12-01 00:57:59,-23.35,47.6,294.09,96,49,1.61
135,Saint-Jean-Port-Joli,CA,2022-12-01 00:57:59,47.2171,-70.2658,280.86,90,100,3.47
136,Henties Bay,NA,2022-12-01 00:58:00,-22.116,14.2845,288.82,88,6,2.88
137,Bilibino,RU,2022-12-01 00:58:00,68.0546,166.4372,259.95,93,100,2.44
138,Cinisi,IT,2022-12-01 00:58:00,38.1562,13.1073,287.71,72,20,4.12
139,Airai,TL,2022-12-01 00:54:57,-8.9266,125.4092,294.18,73,97,0.9
140,Maraba,BR,2022-12-01 00:53:04,-5.3686,-49.1178,297.25,100,0,1.54
141,Chegutu,ZW,2022-12-01 00:58:01,-18.1302,30.1407,287.9,70,0,2.57
142,Kulhudhuffushi,MV,2022-12-01 00:58:02,6.6221,73.07,300.44,69,30,1.6
143,Margate,GB,2022-12-01 00:58:02,51.3813,1.3862,282.98,86,55,2.24
144,Gurupi,BR,2022-12-01 00:58:03,-11.7292,-49.0686,296.85,79,95,1.4
145,Conceicao Do Araguaia,BR,2022-12-01 00:58:03,-8.2578,-49.2647,295.22,95,62,1.7
146,Carnarvon,AU,2022-12-01 00:58:04,-24.8667,113.6333,296.22,66,9,3.88
147,Fallon,US,2022-12-01 00:58:04,39.4735,-118.7774,283.1,32,100,1.67
148,Dingle,PH,2022-12-01 00:55:01,10.9995,122.6711,300.17,83,86,5.49
149,Gat,IL,2022-12-01 00:58:05,31.61,34.7642,287.82,61,0,1.38
150,Constitucion,CL,2022-12-01 00:58:05,-35.3333,-72.4167,285.53,81,0,5.7
151,Iqaluit,CA,2022-12-01 00:58:06,63.7506,-68.5145,244.09,68,0,6.17
152,Pampierstad,ZA,2022-12-01 00:58:06,-27.7832,24.6877,297.23,36,93,3.4
153,Hobart,AU,2022-12-01 00:57:06,-42.8794,147.3294,288.74,52,75,4.12
154,Arroyo,ES,2022-12-01 00:58:07,41.6096,-4.7969,276.26,88,0,2.06
155,Teahupoo,PF,2022-12-01 00:58:07,-17.8333,-149.2667,300.13,82,20,6.09
156,Sao Goncalo Do Sapucai,BR,2022-12-01 00:58:08,-21.8922,-45.5953,291.21,88,84,1.38
157,Lompoc,US,2022-12-01 00:58:08,34.6391,-120.4579,287.6,79,100,3.09
158,Harper,LR,2022-12-01 00:58:09,4.375,-7.7169,298.21,87,100,1.77
159,Wajir,KE,2022-12-01 00:58:09,1.7471,40.0573,297.38,75,79,4.13
160,Sitka,US,2022-12-01 00:58:09,57.0531,-135.33,268.01,44,1,1.95
